ID,Lat,Lng,CategoryId,Name,OperatingHours,Phone,Fax
66023,1.283980,103.850925,14,COVETTE LASER AESTHETICS CLINIC,,,
63153,1.301295,103.793019,14,ADVANCED MEDICINE IMAGING,,,
66177,1.346872,103.944315,14,Q & M DENTAL SURGERY (TAMPINES ST 11),,,
66024,1.349321,103.934740,14,OUR FAMILY PHYSICIAN CLINIC & SURGERY,,,
65133,1.389293,103.844683,14,APPLE WELLNESS CENTER DENTAL SERVICES,,,
64993,1.305469,103.835528,14,DOLLY WEE CLINIC & SURGERY FOR WOMEN,,,
65139,1.352421,103.944754,14,FACE ON CLINIC BY DOCTORS,,,
65140,1.372455,103.949679,14,MINMED CLINIC (PASIR RIS),,,
65141,1.348853,103.848015,14,P TAN FAMILY MEDICINE CLINIC,,,
65142,1.293344,103.855412,14,REVIVAL MEDICAL & AESTHETICS CENTRE,,,
63155,1.431184,103.798451,14,MY FAMILY CLINIC (WOODLANDS GLEN),,,
63156,1.446753,103.805555,14,NOBLE DENTAL SURGERY,,,
66190,1.323368,103.868936,14,57 MEDICAL CLINIC (GEYLANG BAHRU),,,
66191,1.305469,103.835528,14,ALPINE SURGICAL PRACTICE,,,
66192,1.375333,103.839328,14,Q & M DENTAL SURGERY (MAYFLOWER),,,
63157,1.303546,103.835856,14,PRIMARY CARE ASIA,,,
65084,1.305469,103.835528,14,INTERNATIONAL EYE CATARACT RETINA CENTRE,,,
65085,1.402846,103.913197,14,PARKWAY SHENTON MEDICAL GROUP,,,
65086,1.372553,103.847867,14,WOMEN'S CLINIC OF SINGAPORE,,,
66193,1.335954,103.847982,14,REDWOOD @ TPY CLINIC AND SURGERY PTE. LTD.,,,
65101,1.319206,103.886377,14,BOSTON MEDICAL,,,
63147,1.306699,103.832075,14,TERRA MEDICAL CLINIC,,,
66027,1.372455,103.847153,14,AMK SPECIALIST CENTRE,,,
66028,1.338660,103.844767,14,BRADDELL MEDICAL CLINIC,,,
65102,1.345508,103.682755,14,FULLERTON HEALTH @ NTU,,,
65103,1.395650,103.893582,14,NCCS ONCOLOGY @ SKH,,,
66029,1.356748,103.933599,14,HEARTLANDHEALTH,,,
66128,1.342122,103.837703,14,ASIA BRAIN SPINE AND NERVE MEDICAL CENTRE PTE LTD,,,
66030,1.339117,103.734540,14,HEARTLANDHEALTH,,,
66031,1.289795,103.827795,14,Q & M DENTAL SURGERY (HAVELOCK ROAD),,,
66032,1.274823,103.844090,14,WELLNESS DENTAL CENTRE,,,
66129,1.315180,103.908823,14,ORCHARD HEART SPECIALIST PTE LTD,,,
64989,1.377769,103.953741,14,EXCEL DENTAL,,,
66194,1.302790,103.865060,14,THE GOOD CLINIC,,,
66195,1.301145,103.838399,14,VIVID DENTAL SURGEONS @ SOMERSET,,,
66061,1.305469,103.835528,14,COVE ORTHOPAEDIC CLINIC,,,
65160,1.322209,103.844127,14,JASON LIM ENDOSCOPY & SURGERY (NOVENA),,,
65161,1.312267,103.853855,14,NICHOLAS CHEW INFECTIOUS DISEASES,,,
65162,1.333385,103.743934,14,NOVU MEDICAL AESTHETIC CLINIC JEM,,,
65163,1.339707,103.706693,14,NOVU MEDICAL AESTHETIC CLINIC JURONG POINT,,,
65164,1.293682,103.852956,14,NOVU MEDICAL AESTHETIC CLINIC RAFFLES CITY,,,
65165,1.322209,103.844127,14,NICHOLAS CHEW INFECTIOUS DISEASES,,,
65491,1.303136,103.823926,14,NOVAPTUS SURGERY CENTRE,,,
66130,1.312267,103.853855,14,CENTRE FOR FOOT AND ANKLE SURGERY,,,
65849,1.300379,103.788209,14,ONE-NORTH DENTAL,,,
65487,1.315815,103.848443,14,EDGEDALE MEDICAL CLINIC (CAMBRIDGE),,,
65488,1.320680,103.843129,14,ETERNELLE V,,,
66131,1.312267,103.853855,14,CENTRE FOR SPINE AND ORTHOPAEDIC SURGERY,,,
66132,1.305469,103.835528,14,HEPATOBILIARY AND PANCREATIC SURGERY CENTRE,,,
65126,1.306042,103.831043,14,ALAXIS MEDICAL & AESTHETIC SURGERY,,,
65087,1.370043,103.889051,14,COMMUNITY EYE CLINIC @ HOUGANG POLYCLINIC,,,
65088,1.384100,103.744965,14,NUH COMMUNITY EYE CLINIC @ KEAT HONG,,,
65089,1.312227,103.854731,14,STARMED SPECIALIST CENTRE,,,
65090,1.284148,103.832438,14,VIVID DENTAL SURGEONS,,,
65091,1.322209,103.844127,14,ONE SURGICAL CLINIC & SURGERY,,,
65092,1.352382,103.943755,14,Q & M DENTAL SURGERY (TAMPINES),,,
65093,1.354158,103.945198,14,SL AESTHETIC CLINIC,,,
65134,1.365206,103.690957,14,CIVIL DEFENCE ACADEMY COMPLEX MEDICAL CENTRE,,,
65135,1.418295,103.841433,14,FAITH CLINIC (YISHUN),,,
65231,1.342122,103.837703,14,ACJ WOMEN'S CLINIC PTE LTD,,,
65232,1.305469,103.835528,14,ICON HAEMATOLOGY CENTRE MOUNT ELIZABETH,,,
65830,1.320680,103.843129,14,DAVITA MEDICAL & DIALYSIS CENTRE (NOVENA),,,
65833,1.312267,103.853855,14,GUTCARE DIGESTIVE.LIVER.ENDOSCOPY ASSOCIATES,,,
65834,1.372868,103.886047,14,ONECARE CLINIC HOUGANG AVE 8,,,
65835,1.312267,103.853855,14,THE BREAST CANCER AND LYMPHOEDEMA CENTER,,,
66150,1.312267,103.853855,14,MELANIE SEAH BREAST SPECIALIST,,,
65095,1.275438,103.843053,14,APOLLONIA DENTAL SURGERY,,,
65096,1.333018,103.790563,14,ELEMENTS DENTAL,,,
65097,1.281041,103.851715,14,FULLERTON HEALTH @ UBS,,,
65098,1.395650,103.893582,14,NHCS CARDIOLOGY @ SKH,,,
65105,1.402846,103.913197,14,ALLSMILES DENTAL CARE PUNGGOL PTE. LTD.,,,
65107,1.335240,103.720414,14,MYDENTAL @ TAMANJURONG,,,
65108,1.429274,103.835713,14,NOVU MEDICAL AESTHETIC CLINIC YISHUN,,,
65112,1.379856,103.841437,14,SUMMIT MEDICAL CLINIC,,,
65113,1.325862,103.678853,14,"DRS KOO, FOK & ASSOCIATES PTE LTD",,,
65114,1.350186,103.739100,14,HEALTHWAY MEDICAL,,,
65118,1.445944,103.828630,14,T MEDICAL CLINIC,,,
65119,1.303546,103.835856,14,WELLNESS & GYNAECOLOGY CENTRE BY DR JULINDA LEE,,,
65121,1.353205,103.954164,14,1728 DENTAL PRACTICE (TAMPINES) PTE LTD,,,
56671,1.376964,103.739349,14,PACIFIC ADVANCE RENAL CARE (CHOA CHU KANG),,,
56672,1.320881,103.870285,14,SHANG DENTAL (KALLANG),,,
56673,1.357531,103.945811,14,SINGHEALTH POLYCLINICS - TAMPINES,,,
56674,1.331346,103.936649,14,115 EASTPOINT CLINIC & SURGERY,,,
56676,1.319499,103.861151,14,18 CLINIC,,,
56677,1.288914,103.846417,14,"1AESTHETICS, MEDICAL & SURGERY",,,
